"","res"
"1",-887.177053191903
"2",821.011457369255
"3",68.8208622752645
"4",329.656766292668
"5",-176.443286409783
"6",-249.910724950096
"7",83.9192948334385
"8",3099.25830231767
"9",382.333321549828
"10",13.7501181672123
"11",1458.8529388715
"12",843.344455418599
"13",-196.144741890195
"14",-1097.78405163367
"15",-779.134669064624
"16",43.5634035531766
"17",783.519416022085
"18",1597.95893597641
"19",891.445339725702
"20",675.258907378113
"21",331.886536349935
"22",904.225756232852
"23",95.0826254728381
"24",984.276317653923
"25",244.442150961841
"26",196.112813198735
"27",-123.66048192179
"28",-2601.79192196218
"29",-1197.34923736418
"30",1985.2057326152
"31",-368.514244726153
"32",-78.2504849444522
"33",1394.76987106305
"34",-473.327247823589
"35",393.938359709209
"36",-134.648731594141
"37",-75.9262809268112
"38",783.536746693571
"39",-592.892410240216
"40",-174.819589155253
"41",63.28816646208
"42",1834.11696899905
"43",192.017751734689
"44",2522.79824932966
"45",1225.07182708356
"46",-1845.26860341101
"47",-1127.84261430024
"48",-1344.32731593442
"49",-361.384893952214
"50",578.534405331011
"51",-1326.01598479856
"52",804.124012681554
"53",-812.372712343262
"54",-13.260354729995
"55",-2235.20919932243
"56",134.00891589676
"57",1363.48735143374
"58",-1330.88173411173
"59",1386.60270696651
"60",2284.52571514159
"61",413.296049525372
"62",107.263271106902
"63",2139.99258910374
"64",-1951.97138305834
"65",-1140.193980924
"66",271.941417596041
"67",801.031269488551
"68",-2017.11075640082
"69",295.347198066367
"70",-914.182646799891
"71",-227.187359279473
"72",391.5510178525
"73",668.16598039055
"74",-1271.79171497905
"75",-1001.64608264686
"76",-201.1372066431
"77",-406.556146457442
"78",-906.099033637474
"79",588.890030089504
"80",2037.31205195664
"81",180.667838915004
"82",-1598.19682010791
"83",1625.21585107469
"84",-1075.73357747371
"85",1604.15886158335
"86",-120.529111360338
"87",691.234984581468
"88",-2260.5640937714
"89",-411.875418062256
"90",2032.88582895198
"91",-237.416933124288
"92",430.265256315965
"93",382.7203532083
"94",-430.217789380207
"95",3.05285037966678
"96",1382.29420415046
"97",-810.146666455003
"98",152.227153997141
"99",660.877820317197
"100",1515.54297960671
"101",-1016.23148052461
"102",-815.350918800264
"103",-889.480150283358
"104",622.500883095439
"105",-458.832131500792
"106",589.212430796491
"107",-729.382146921671
"108",357.386378618001
"109",536.278862895866
"110",704.652428156223
"111",-244.358308261202
"112",1164.13304058985
"113",-459.004608237352
"114",-199.782129554202
"115",908.777672396631
"116",-1236.83278762829
"117",221.058827196059
"118",-2470.99727197516
"119",1623.81900669396
"120",186.275633981975
"121",-280.869243070345
"122",233.598011244023
"123",-18.3597335585073
"124",844.863063305995
"125",1247.96587154339
"126",1002.82636765153
"127",423.059269195146
"128",960.110288642907
"129",1074.68886684394
"130",-1188.72959663338
"131",496.209572031621
"132",260.963013031665
"133",-423.633567285171
"134",-806.288664244938
"135",498.725489599172
"136",879.247471389936
"137",-264.996327658882
"138",-46.5133172929491
"139",244.939127548932
"140",532.92017024805
"141",961.390374683157
"142",-1596.81236537153
"143",350.324544717412
"144",2179.48749844622
"145",-1421.60376907116
"146",-171.701102636835
"147",-515.476353109763
"148",704.83195490569
"149",101.933655098983
"150",-2160.62010412496
"151",761.714128290769
"152",433.172345993858
"153",-642.151429107529
"154",964.31836078105
"155",203.914913256529
"156",-649.907988616374
"157",112.931252163849
"158",-667.143635375229
"159",81.8374746621776
"160",706.160585096222
"161",-1095.54544814753
"162",-1454.73457109055
"163",3515.86088254247
"164",109.803909702809
"165",1483.10176007015
"166",-1873.91906929595
